,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
0,Michael Buerk : Graeme Logan’s come a long way since he was put in to care shortly after he was born,Graeme Logan’s come a long way since he was put in to care shortly after he was born,430870,nodeset15907,0,1,0,1,0,0,Michael,"['michael', 'buerk', 'graeme', 'logan', '’', 's', 'come', 'a', 'long', 'way', 'since', 'he', 'be', 'put', 'in', 'to', 'care', 'shortly', 'after', 'he', 'be', 'bear']",22,care,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,"Michael Buerk : He was adopted by the owners of a family fish business, renamed Michael Gove, won a scholarship to one of Scotland’s best schools, Oxford, stellar career in the media including a lengthy spell as a panellist here on the Moral Maze","Graeme Logan was adopted by the owners of a family fish business, renamed Michael Gove, won a scholarship to one of Scotland’s best schools, Oxford, stellar career in the media including a lengthy spell as a panellist here on the Moral Maze",430876,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'he', 'be', 'adopt', 'by', 'the', 'owner', 'of', 'a', 'family', 'fish', 'business', 'rename', 'michael', 'gove', 'win', 'a', 'scholarship', 'to', 'one', 'of', 'scotland', '’', 's', 'good', 'school', 'oxford', 'stellar', 'career', 'in', 'the', 'medium', 'include', 'a', 'lengthy', 'spell', 'as', 'a', 'panellist', 'here', 'on', 'the', 'moral', 'maze']",45,,,,,family,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
2,"Michael Buerk : Politics, the cabinet, touching distance of becoming prime minister","Politics, the cabinet, touching distance of becoming prime minister",430883,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'politic', 'the', 'cabinet', 'touching', 'distance', 'of', 'become', 'prime', 'minister']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
3,Michael Buerk : now it seems it all might end with a sniff,now it seems it all might end with a sniff,430890,nodeset15907,0,1,0,1,0,0,Michael,"['michael', 'buerk', 'now', 'it', 'seem', 'it', 'all', 'might', 'end', 'with', 'a', 'sniff']",12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
4,Michael Buerk : The disclosure that he’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,The disclosure that Michael Gove’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,430895,nodeset15907,0,1,0,1,0,1,Michael,"['michael', 'buerk', 'the', 'disclosure', 'that', 'he', '’', 's', 'snort', 'cocaine', '–', 'quote', '–', 'on', 'several', 'occasion', '–', 'unquote', '–', 'and', 'more', 'year', 'ago', 'divide', 'opinion']",25,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,"Michael Buerk : Those who don’t care think that youthful – ish in his case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them","Those who don’t care think that youthful – ish in Michael Gove's case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them",430902,nodeset15907,0,1,0,1,0,1,Michael,"['michael', 'buerk', 'those', 'who', 'do', 'not', 'care', 'think', 'that', 'youthful', '–', 'ish', 'in', 'his', 'case', 'he', 'be', 'around', '–', 'youthful', 'indiscretion', 'should', 'not', 'be', 'hold', 'against', 'the', 'mature', 'individual', 'who', 'regret', 'they']",32,care,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Michael Buerk : As a Christian as well as an ambitious politician, he believes in redemption","As a Christian as well as an ambitious politician, Michael Gove believes in redemption",430908,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'as', 'a', 'christian', 'as', 'well', 'as', 'an', 'ambitious', 'politician', 'he', 'believe', 'in', 'redemption']",15,,,,,,,,,christian,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
7,Michael Gove : We’re all sinners in a fallen world,We’re all sinners in a fallen world,430912,nodeset15907,0,1,0,1,0,0,Michael,"['michael', 'gove', 'we', '’', 're', 'all', 'sinner', 'in', 'a', 'fallen', 'world']",11,,,,,,,,,,sinner,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
8,"Michael Buerk : Yes, his critics reply","Yes, his critics reply",430926,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'yes', 'his', 'critic', 'reply']",6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Michael Buerk : we’re not all vying to be the country’s leader,critics reply that we’re not all vying to be the country’s leader,430929,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'we', '’', 're', 'not', 'all', 'vie', 'to', 'be', 'the', 'country', '’', 's', 'leader']",15,,,,,country,,leader,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
10,"Michael Buerk : Taking cocaine, a Class A drug, was and is illegal","Taking cocaine, a Class A drug, was and is illegal",430934,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'take', 'cocaine', 'a', 'class', 'a', 'drug', 'be', 'and', 'be', 'illegal']",12,,,,,,,,illegal,,drug,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
11,Michael Buerk : Those who do so fund a chain of vicious criminality that undermine societies across half the world,Those who take cocaine fund a chain of vicious criminality that undermine societies across half the world,430938,nodeset15907,0,1,0,1,0,0,Michael,"['michael', 'buerk', 'those', 'who', 'do', 'so', 'fund', 'a', 'chain', 'of', 'vicious', 'criminality', 'that', 'undermine', 'society', 'across', 'half', 'the', 'world']",19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
12,Michael Buerk : There are many who say the real sin is hypocrisy,There are many who say the real sin is hypocrisy,430944,nodeset15907,0,1,0,1,0,0,Michael,"['michael', 'buerk', 'there', 'be', 'many', 'who', 'say', 'the', 'real', 'sin', 'be', 'hypocrisy']",12,,,,hypocrisy,,,,,,sin,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
13,Michael Buerk : This seems to have become more and more the case as we become less certain as a society about what is actually right and wrong,This seems to have become more and more the case as we become less certain as a society about what is actually right and wrong,430947,nodeset15907,0,1,0,0,0,1,Michael,"['michael', 'buerk', 'this', 'seem', 'to', 'have', 'become', 'more', 'and', 'more', 'the', 'case', 'as', 'we', 'become', 'less', 'certain', 'as', 'a', 'society', 'about', 'what', 'be', 'actually', 'right', 'and', 'wrong']",27,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
14,"Michael Buerk : Gove wrote an article criticising middle class professionals for taking drugs, while being one and doing so himself","Gove wrote an article criticising middle class professionals for taking drugs, while being one and doing so himself",430955,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'gove', 'write', 'an', 'article', 'criticise', 'middle', 'class', 'professional', 'for', 'take', 'drug', 'while', 'be', 'one', 'and', 'do', 'so', 'himself']",20,,,,,,,,,,drug,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"Michael Buerk : Lapsing sometimes from the standards we uphold is human, he says","Lapsing sometimes from the standards we uphold is human, he says",430960,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'lapsing', 'sometimes', 'from', 'the', 'standard', 'we', 'uphold', 'be', 'human', 'he', 'say']",13,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Michael Buerk : Should something like this disqualify you from high office? ,"Something like criticising middle class professionals for taking drugs, while doing so themselves should/shouldn't disqualify you from high office",430964,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'should', 'something', 'like', 'this', 'disqualify', 'you', 'from', 'high', 'office']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,"Michael Buerk : If so, because of what you did","If something like criticising middle class professionals while being one and do so themselves should disqualify you from high office, it is/isn't because of what you did",430971,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'if', 'so', 'because', 'of', 'what', 'you', 'do']",9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Michael Buerk : the hypocrisy you displayed about it,"If something like criticising middle class professionals while being one and do so themselves should disqualify you from high office, it is/isn't because of the hypocrisy you displayed about it",430974,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'the', 'hypocrisy', 'you', 'display', 'about', 'it']",8,,,,hypocrisy,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,"Michael Buerk : The panel, Melanie Phillips, social commentator at The Times, the priest and polemicist, Giles Fraser, the historian, Tim Stanley, and new to the panel, Kehinde Andrews, professor of black studies at Birmingham City University","The panel, Melanie Phillips, social commentator at The Times, the priest and polemicist, Giles Fraser, the historian, Tim Stanley, and new to the panel, Kehinde Andrews, professor of black studies at Birmingham City University",430980,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'the', 'panel', 'melanie', 'phillips', 'social', 'commentator', 'at', 'the', 'time', 'the', 'priest', 'and', 'polemicist', 'gile', 'fraser', 'the', 'historian', 'tim', 'stanley', 'and', 'new', 'to', 'the', 'panel', 'kehinde', 'andrews', 'professor', 'of', 'black', 'study', 'at', 'birmingham', 'city', 'university']",36,,,,,,,,,priest,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,"Michael Buerk : Melanie Phillips, you’ve been pretty unforgiving about our former colleague","Melanie Phillips, you’ve been pretty unforgiving about our former colleague",430983,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'melanie', 'phillips', 'you', '’', 've', 'be', 'pretty', 'unforgiving', 'about', 'our', 'former', 'colleague']",14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,"Michael Buerk : Sins of the Past, our Moral Maze tonight","Sins of the Past, our Moral Maze tonight",430987,nodeset15907,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'sin', 'of', 'the', 'past', 'our', 'moral', 'maze', 'tonight']",10,,,,,,,,,,sin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
